"ITEM_NAME","DRUG_SHAPE","COLOR_CLASS","CHART","LINE_FRONT","LINE_BACK"
"본렉스이알캡슐30밀리그램(시클로벤자프린염산염)","장방형","빨강","흰색 내지 미백색의 구형 입자가 들어있는 상부 빨강색, 하부 진한 파랑색의 불투명 서방성 경질캡슐","null","null"
"오메코프정","원형","하양","흰색의 원형필름코팅정","null","null"
"산도스올란자핀정10밀리그램","원형","하양","흰색의 원형 필름코팅 정제","null","null"
"올란프레서정10mg(올란자핀)","원형","하양","흰색의 원형 필름코팅 정제","null","null"
"산도스올란자핀정5밀리그램","원형","하양","흰색의 원형 필름코팅정제","null","null"
"올란프레서정5mg (올란자핀)","원형","하양","흰색의 원형 필름코팅정제","null","null"
"산도스올란자핀정2.5밀리그램","원형","하양","흰색의 원형 필름코팅정제","null","null"
"올란프레서정2.5mg (올란자핀)","원형","하양","흰색의 원형 필름코팅정제","null","null"
"센트룸실버정","타원형","회색","이 약은 회색의 타원형 필름코팅정으로 한쪽 면에는 왼쪽에 “W"", 오른쪽에 ”2“가, 다른쪽 면에는 ”SELECT""가 각각 새겨져 있다.","null","-"
"헤파피스연질캡슐","장방형","연두","황갈색의 유상내용물을 함유한 황녹색의 장방형 연질캡슐","null","null"
"메펜연질캡슐(메페남산)","장방형","파랑","연한 청색 내용물을 함유한 청색의 장방형 연질캡슐","null","null"
"센타민플러스연질캡슐","장방형","갈색","주황색의 내용물을 포함한 갈색의 장방형 연질캡슐","null","null"
"헤모퀸골드캡슐","장방형","갈색","갈색의 분말이 충진된 상·하부 적갈색의 경질캡슐제","null","null"
"제로민연질캡슐(디펜히드라민염산염)","타원형","청록, 투명","무색 내지 연한 청록색의 투명한 액상의 내용물을 함유한 연청록색의 볼록한 타원형 연질캡슐","null","null"
"비나코연질캡슐","장방형","파랑, 투명","미황 내지 연한 청색의 투명한 액상 내용물이 든 청색의 투명한 장방형의 연질캡슐","null","null"
"리피다운캡슐120밀리그램(오르리스타트)","장방형","파랑","흰색 내지 연한노란색의 펠렛이 든 청록색의 경질캡슐제","null","null"
"비오펜연질캡슐(덱시부프로펜)","타원형","초록","무색 내지 연한 녹색의 투명한 액상 내용물을 함유한 녹색의 장방형 연질캡슐","null","null"
"카이로정","장방형","하양","흰색의 장방형 필름코팅정","null","-"
"덴탈에프정(옥수수불검화정량추출물)","원형","주황","주황색의 원형 당의정","null","null"
"마이에신캡슐(은교산)","장방형","갈색","갈색의 분말이 충진된 상부 갈색, 하부 백색의 경질캡슐제","null","null"
"미카몰정","장방형","하양","흰색의 장방형 필름코팅정","null","null"
"행심연질캡슐(은행엽건조엑스)","타원형","초록","진한갈색의 내용물이 든 녹색의 타원형 연질캡슐","null","null"
"알룬정","타원형","분홍","분홍색의 장방형 필를코팅정제","null","null"
"미니메이드정(수출용)","타원형","분홍","분홍색의 장방형 필름코팅정제","null","null"
"리버플란연질캡슐","장방형","갈색","황갈색의 내용물을 함유하는 암갈색의 장방형 연질캡슐제","null","null"
"에코닉신정(클로닉신리시네이트)","원형","주황","주황색의 원형 필름코팅정","null","null"
"토넥스포르테캡슐","장방형","빨강","엷은 홍색의 분말이 든 상·하부 적색의 경질캡슐제","null","null"
"헤파라이프연질캡슐350mg(밀크시슬열매건조엑스)","장방형","갈색","황갈색의 유상 내용물을 함유한 암적색(검붉은 색)의 장방형 연질캡슐","null","null"
"비타마인연질캡슐","장방형","초록","황녹색의 내용물을 함유한 암녹색 장방형 연질캡슐","null","null"
"그날엔정","원형","하양, 빨강","상, 하층은 백색 내지 유백색이고 중간층은 적색 내지 연적색인 원형 필름코팅 삼중정제이며, 상,하층에 적색반점이 있을 수 있다.","null","null"
"자베스카캡슐100밀리그램(미글루스타트)","장방형","하양","백색-미백색의 분말을 함유하는 상,하부 백색의 경질캡슐","null","null"
"이프렌에스연질캡슐(덱시부프로펜)","장방형","청록, 투명","무색 내지 연한 청록색의 투명한 내용물이 든 연청록색의 투명한 장방형 연질캡슐","null","null"
"맥스비타플러스정","타원형","주황","주황색의 타원형 필름코팅정제","null","null"
"에델피스연질캡슐(디펜히드라민염산염)","타원형","청록, 투명","무색 투명한 액상의 내용물을 함유한 연청록색의 볼록한 타원형 연질캡슐","null","null"
"제이에스콜드정","장방형","분홍","연분홍색의 장방형 필름코팅정","null","null"
"코크린정","장방형","하양","흰색의 장방형 필름코팅정제","null","null"
"오메콜캡슐","장방형","파랑","백색-미황색의 가루가 든 상부 청색, 하부 흰색의 경질캡슐제","null","null"
"리드비타큐정","타원형","빨강","주황색의 타원형 필름코팅정제","null","null"
"비타엔큐연질캡슐","장방형","갈색","황갈색의 내용물을 함유하는 암갈색의 장방형 연질캡슐","null","null"
"카페그린정","타원형","파랑","연한 청색의 타원형 장용 필름코팅정","null","null"
"트리답티브정","장방형","하양","흰색 또는 엷은 흰색으로 한면에 ‘552’가 새겨진 양면이 볼록한 장방형의 서방성 이층정","null","null"
"코프노캡슐","장방형","노랑","미황색 분말이 충진된 상하부 황색의 경질캡슐제","null","null"
"이젠이캡슐","장방형","파랑","엷은 주황색가루가 든 상,하부 연청색의 경질 캡슐제","null","null"
"스프라이셀정50밀리그램(다사티닙)","타원형","하양","흰색 내지 회백색의 양면이 볼록하고 타원형이며, 한쪽면에는 'BMS' 다른쪽면에는 ‘528’이 각인되어 있는 필름코팅정","null","null"
"에너지톤연질캡슐","장방형","갈색","황색의 내용물이 든 암갈색의 장방형 연질캡슐","null","null"
"토핀정25밀리그램(토피라메이트)","원형","하양","흰색의 원형 필름코팅정","-","null"
